Time;Object Name;Status;Value;;;;;Object Name;Value;
9:12:26;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:00;;;TIC Gauge 1;1,00E+05;0
9:12:26;;;1,6;9:12:26;0:00:00;;;;1,6;0
9:12:26;;;7,5;9:12:26;0:00:00;;;;7,5;0
9:12:26;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:00;;;TIC Gauge 2;9,90E+09;0
9:12:26;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:00;;;TIC Gauge 3;9,90E+09;0
9:12:28;;;1,6;9:12:26;0:00:02;;;;1,6;2
9:12:28;;;8,2;9:12:26;0:00:02;;;;8,2;2
9:12:28;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:02;;;TIC Gauge 1;1,00E+05;2
9:12:28;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:02;;;TIC Gauge 2;9,90E+09;2
9:12:28;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:02;;;TIC Gauge 3;9,90E+09;2
9:12:30;;;8;9:12:26;0:00:04;;;;8;4
9:12:30;;;1,6;9:12:26;0:00:04;;;;1,6;4
9:12:30;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:04;;;TIC Gauge 1;1,00E+05;4
9:12:30;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:04;;;TIC Gauge 2;9,90E+09;4
9:12:31;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:05;;;TIC Gauge 3;9,90E+09;5
9:12:32;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:06;;;TIC Gauge 2;9,90E+09;6
9:12:32;;;1,6;9:12:26;0:00:06;;;;1,6;6
9:12:32;;;7,5;9:12:26;0:00:06;;;;7,5;6
9:12:32;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:06;;;TIC Gauge 3;9,90E+09;6
9:12:32;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:06;;;TIC Gauge 1;1,00E+05;6
9:12:34;;;1,6;9:12:26;0:00:08;;;;1,6;8
9:12:34;;;6,3;9:12:26;0:00:08;;;;6,3;8
9:12:34;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:08;;;TIC Gauge 1;1,00E+05;8
9:12:35;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:09;;;TIC Gauge 2;9,90E+09;9
9:12:35;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:09;;;TIC Gauge 3;9,90E+09;9
9:12:36;;;1,6;9:12:26;0:00:10;;;;1,6;10
9:12:36;;;6,3;9:12:26;0:00:10;;;;6,3;10
9:12:37;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:11;;;TIC Gauge 1;1,00E+05;11
9:12:37;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:11;;;TIC Gauge 2;9,90E+09;11
9:12:37;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:11;;;TIC Gauge 3;9,90E+09;11
9:12:38;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:12;;;TIC Gauge 3;9,90E+09;12
9:12:39;;;1,6;9:12:26;0:00:13;;;;1,6;13
9:12:39;;;7,3;9:12:26;0:00:13;;;;7,3;13
9:12:39;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:13;;;TIC Gauge 1;1,00E+05;13
9:12:39;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:13;;;TIC Gauge 2;9,90E+09;13
9:12:41;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:15;;;TIC Gauge 2;9,90E+09;15
9:12:41;;;1,6;9:12:26;0:00:15;;;;1,6;15
9:12:41;;;8,2;9:12:26;0:00:15;;;;8,2;15
9:12:41;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:15;;;TIC Gauge 3;9,90E+09;15
9:12:41;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:15;;;TIC Gauge 1;1,00E+05;15
9:12:43;;;1,6;9:12:26;0:00:17;;;;1,6;17
9:12:43;;;8,4;9:12:26;0:00:17;;;;8,4;17
9:12:43;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:17;;;TIC Gauge 1;1,00E+05;17
9:12:43;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:17;;;TIC Gauge 2;9,90E+09;17
9:12:43;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:17;;;TIC Gauge 3;9,90E+09;17
9:12:45;;;1,6;9:12:26;0:00:19;;;;1,6;19
9:12:45;;;8,2;9:12:26;0:00:19;;;;8,2;19
9:12:45;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:19;;;TIC Gauge 1;1,00E+05;19
9:12:45;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:19;;;TIC Gauge 2;9,90E+09;19
9:12:45;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:19;;;TIC Gauge 3;9,90E+09;19
9:12:47;;;1,6;9:12:26;0:00:21;;;;1,6;21
9:12:47;;;8,4;9:12:26;0:00:21;;;;8,4;21
9:12:47;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:21;;;TIC Gauge 1;1,00E+05;21
9:12:47;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:21;;;TIC Gauge 2;9,90E+09;21
9:12:47;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:21;;;TIC Gauge 3;9,90E+09;21
9:12:49;;;1,6;9:12:26;0:00:23;;;;1,6;23
9:12:49;;;6,1;9:12:26;0:00:23;;;;6,1;23
9:12:49;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:23;;;TIC Gauge 1;1,00E+05;23
9:12:49;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:23;;;TIC Gauge 2;9,90E+09;23
9:12:49;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:23;;;TIC Gauge 3;9,90E+09;23
9:12:51;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:25;;;TIC Gauge 2;9,90E+09;25
9:12:51;;;1,6;9:12:26;0:00:25;;;;1,6;25
9:12:51;;;5,8;9:12:26;0:00:25;;;;5,8;25
9:12:51;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:25;;;TIC Gauge 3;9,90E+09;25
9:12:51;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:25;;;TIC Gauge 1;1,00E+05;25
9:12:53;;;1,6;9:12:26;0:00:27;;;;1,6;27
9:12:53;;;6,5;9:12:26;0:00:27;;;;6,5;27
9:12:53;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:27;;;TIC Gauge 1;1,00E+05;27
9:12:53;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:27;;;TIC Gauge 2;9,90E+09;27
9:12:53;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:27;;;TIC Gauge 3;9,90E+09;27
9:12:55;;;1,6;9:12:26;0:00:29;;;;1,6;29
9:12:55;;;7,3;9:12:26;0:00:29;;;;7,3;29
9:12:55;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:29;;;TIC Gauge 1;1,00E+05;29
9:12:55;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:29;;;TIC Gauge 2;9,90E+09;29
9:12:55;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:29;;;TIC Gauge 3;9,90E+09;29
9:12:57;;;1,6;9:12:26;0:00:31;;;;1,6;31
9:12:57;;;8,4;9:12:26;0:00:31;;;;8,4;31
9:12:57;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:31;;;TIC Gauge 1;1,00E+05;31
9:12:57;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:31;;;TIC Gauge 2;9,90E+09;31
9:12:57;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:31;;;TIC Gauge 3;9,90E+09;31
9:12:59;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:33;;;TIC Gauge 3;9,90E+09;33
9:12:59;;;1,6;9:12:26;0:00:33;;;;1,6;33
9:12:59;;;6,1;9:12:26;0:00:33;;;;6,1;33
9:12:59;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:33;;;TIC Gauge 1;1,00E+05;33
9:12:59;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:33;;;TIC Gauge 2;9,90E+09;33
9:13:01;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:35;;;TIC Gauge 1;1,00E+05;35
9:13:01;;;1,6;9:12:26;0:00:35;;;;1,6;35
9:13:01;;;6,3;9:12:26;0:00:35;;;;6,3;35
9:13:01;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:35;;;TIC Gauge 2;9,90E+09;35
9:13:01;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:35;;;TIC Gauge 3;9,90E+09;35
9:13:03;;;1,6;9:12:26;0:00:37;;;;1,6;37
9:13:03;;;6,3;9:12:26;0:00:37;;;;6,3;37
9:13:03;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:37;;;TIC Gauge 1;1,00E+05;37
9:13:03;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:37;;;TIC Gauge 2;9,90E+09;37
9:13:03;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:37;;;TIC Gauge 3;9,90E+09;37
9:13:05;;;1,6;9:12:26;0:00:39;;;;1,6;39
9:13:05;;;8,2;9:12:26;0:00:39;;;;8,2;39
9:13:05;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:39;;;TIC Gauge 1;1,00E+05;39
9:13:05;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:39;;;TIC Gauge 2;9,90E+09;39
9:13:05;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:39;;;TIC Gauge 3;9,90E+09;39
9:13:07;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:41;;;TIC Gauge 3;9,90E+09;41
9:13:07;;;1,6;9:12:26;0:00:41;;;;1,6;41
9:13:07;;;6,8;9:12:26;0:00:41;;;;6,8;41
9:13:07;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:41;;;TIC Gauge 1;1,00E+05;41
9:13:07;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:41;;;TIC Gauge 2;9,90E+09;41
9:13:09;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:43;;;TIC Gauge 2;9,90E+09;43
9:13:09;;;1,6;9:12:26;0:00:43;;;;1,6;43
9:13:09;;;6,5;9:12:26;0:00:43;;;;6,5;43
9:13:09;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:43;;;TIC Gauge 3;9,90E+09;43
9:13:10;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:44;;;TIC Gauge 1;1,00E+05;44
9:13:11;;;1,6;9:12:26;0:00:45;;;;1,6;45
9:13:11;;;7,5;9:12:26;0:00:45;;;;7,5;45
9:13:12;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:46;;;TIC Gauge 1;1,00E+05;46
9:13:12;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:46;;;TIC Gauge 2;9,90E+09;46
9:13:12;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:46;;;TIC Gauge 3;9,90E+09;46
9:13:13;;;1,6;9:12:26;0:00:47;;;;1,6;47
9:13:14;;;6,1;9:12:26;0:00:48;;;;6,1;48
9:13:14;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:48;;;TIC Gauge 1;1,00E+05;48
9:13:14;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:48;;;TIC Gauge 2;9,90E+09;48
9:13:14;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:48;;;TIC Gauge 3;9,90E+09;48
9:13:16;;;1,6;9:12:26;0:00:50;;;;1,6;50
9:13:16;;;8;9:12:26;0:00:50;;;;8;50
