Time;Object Name;Status;Value;;;;
9:12:26;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:00;0;
9:12:26;TIC Turbo Speed;;1,6;9:12:26;0:00:00;0;
9:12:26;TIC Turbo Power;;7,5;9:12:26;0:00:00;0;
9:12:26;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:00;0;
9:12:26;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:00;0;
9:12:28;TIC Turbo Speed;;1,6;9:12:26;0:00:02;2;
9:12:28;TIC Turbo Power;;8,2;9:12:26;0:00:02;2;
9:12:28;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:02;2;
9:12:28;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:02;2;
9:12:28;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:02;2;
9:12:30;TIC Turbo Power;;8;9:12:26;0:00:04;4;
9:12:30;TIC Turbo Speed;;1,6;9:12:26;0:00:04;4;
9:12:30;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:04;4;
9:12:30;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:04;4;
9:12:31;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:05;5;
9:12:32;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:06;6;
9:12:32;TIC Turbo Speed;;1,6;9:12:26;0:00:06;6;
9:12:32;TIC Turbo Power;;7,5;9:12:26;0:00:06;6;
9:12:32;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:06;6;
9:12:32;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:06;6;
9:12:34;TIC Turbo Speed;;1,6;9:12:26;0:00:08;8;
9:12:34;TIC Turbo Power;;6,3;9:12:26;0:00:08;8;
9:12:34;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:08;8;
9:12:35;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:09;9;
9:12:35;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:09;9;
9:12:36;TIC Turbo Speed;;1,6;9:12:26;0:00:10;10;
9:12:36;TIC Turbo Power;;6,3;9:12:26;0:00:10;10;
9:12:37;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:11;11;
9:12:37;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:11;11;
9:12:37;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:11;11;
9:12:38;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:12;12;
9:12:39;TIC Turbo Speed;;1,6;9:12:26;0:00:13;13;
9:12:39;TIC Turbo Power;;7,3;9:12:26;0:00:13;13;
9:12:39;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:13;13;
9:12:39;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:13;13;
9:12:41;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:15;15;
9:12:41;TIC Turbo Speed;;1,6;9:12:26;0:00:15;15;
9:12:41;TIC Turbo Power;;8,2;9:12:26;0:00:15;15;
9:12:41;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:15;15;
9:12:41;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:15;15;
9:12:43;TIC Turbo Speed;;1,6;9:12:26;0:00:17;17;
9:12:43;TIC Turbo Power;;8,4;9:12:26;0:00:17;17;
9:12:43;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:17;17;
9:12:43;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:17;17;
9:12:43;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:17;17;
9:12:45;TIC Turbo Speed;;1,6;9:12:26;0:00:19;19;
9:12:45;TIC Turbo Power;;8,2;9:12:26;0:00:19;19;
9:12:45;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:19;19;
9:12:45;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:19;19;
9:12:45;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:19;19;
9:12:47;TIC Turbo Speed;;1,6;9:12:26;0:00:21;21;
9:12:47;TIC Turbo Power;;8,4;9:12:26;0:00:21;21;
9:12:47;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:21;21;
9:12:47;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:21;21;
9:12:47;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:21;21;
9:12:49;TIC Turbo Speed;;1,6;9:12:26;0:00:23;23;
9:12:49;TIC Turbo Power;;6,1;9:12:26;0:00:23;23;
9:12:49;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:23;23;
9:12:49;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:23;23;
9:12:49;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:23;23;
9:12:51;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:25;25;
9:12:51;TIC Turbo Speed;;1,6;9:12:26;0:00:25;25;
9:12:51;TIC Turbo Power;;5,8;9:12:26;0:00:25;25;
9:12:51;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:25;25;
9:12:51;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:25;25;
9:12:53;TIC Turbo Speed;;1,6;9:12:26;0:00:27;27;
9:12:53;TIC Turbo Power;;6,5;9:12:26;0:00:27;27;
9:12:53;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:27;27;
9:12:53;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:27;27;
9:12:53;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:27;27;
9:12:55;TIC Turbo Speed;;1,6;9:12:26;0:00:29;29;
9:12:55;TIC Turbo Power;;7,3;9:12:26;0:00:29;29;
9:12:55;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:29;29;
9:12:55;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:29;29;
9:12:55;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:29;29;
9:12:57;TIC Turbo Speed;;1,6;9:12:26;0:00:31;31;
9:12:57;TIC Turbo Power;;8,4;9:12:26;0:00:31;31;
9:12:57;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:31;31;
9:12:57;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:31;31;
9:12:57;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:31;31;
9:12:59;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:33;33;
9:12:59;TIC Turbo Speed;;1,6;9:12:26;0:00:33;33;
9:12:59;TIC Turbo Power;;6,1;9:12:26;0:00:33;33;
9:12:59;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:33;33;
9:12:59;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:33;33;
9:13:01;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:35;35;
9:13:01;TIC Turbo Speed;;1,6;9:12:26;0:00:35;35;
9:13:01;TIC Turbo Power;;6,3;9:12:26;0:00:35;35;
9:13:01;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:35;35;
9:13:01;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:35;35;
9:13:03;TIC Turbo Speed;;1,6;9:12:26;0:00:37;37;
9:13:03;TIC Turbo Power;;6,3;9:12:26;0:00:37;37;
9:13:03;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:37;37;
9:13:03;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:37;37;
9:13:03;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:37;37;
9:13:05;TIC Turbo Speed;;1,6;9:12:26;0:00:39;39;
9:13:05;TIC Turbo Power;;8,2;9:12:26;0:00:39;39;
9:13:05;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:39;39;
9:13:05;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:39;39;
9:13:05;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:39;39;
9:13:07;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:41;41;
9:13:07;TIC Turbo Speed;;1,6;9:12:26;0:00:41;41;
9:13:07;TIC Turbo Power;;6,8;9:12:26;0:00:41;41;
9:13:07;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:41;41;
9:13:07;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:41;41;
9:13:09;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:43;43;
9:13:09;TIC Turbo Speed;;1,6;9:12:26;0:00:43;43;
9:13:09;TIC Turbo Power;;6,5;9:12:26;0:00:43;43;
9:13:09;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:43;43;
9:13:10;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:44;44;
9:13:11;TIC Turbo Speed;;1,6;9:12:26;0:00:45;45;
9:13:11;TIC Turbo Power;;7,5;9:12:26;0:00:45;45;
9:13:12;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:46;46;
9:13:12;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:46;46;
9:13:12;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:46;46;
9:13:13;TIC Turbo Speed;;1,6;9:12:26;0:00:47;47;
9:13:14;TIC Turbo Power;;6,1;9:12:26;0:00:48;48;
9:13:14;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:48;48;
9:13:14;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:48;48;
9:13:14;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:48;48;
9:13:16;TIC Turbo Speed;;1,6;9:12:26;0:00:50;50;
9:13:16;TIC Turbo Power;;8;9:12:26;0:00:50;50;
9:13:16;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:50;50;
9:13:16;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:50;50;
9:13:16;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:50;50;
9:13:18;TIC Turbo Speed;;1,6;9:12:26;0:00:52;52;
9:13:18;TIC Turbo Power;;7;9:12:26;0:00:52;52;
9:13:18;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:52;52;
9:13:18;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:52;52;
9:13:18;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:52;52;
9:13:20;TIC Turbo Speed;;1,6;9:12:26;0:00:54;54;
9:13:20;TIC Turbo Power;;6,3;9:12:26;0:00:54;54;
9:13:20;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:54;54;
9:13:20;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:54;54;
9:13:20;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:54;54;
9:13:22;TIC Turbo Speed;;1,6;9:12:26;0:00:56;56;
9:13:22;TIC Turbo Power;;7,7;9:12:26;0:00:56;56;
9:13:22;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:56;56;
9:13:22;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:56;56;
9:13:22;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:56;56;
9:13:24;TIC Turbo Speed;;1,6;9:12:26;0:00:58;58;
9:13:24;TIC Turbo Power;;6,1;9:12:26;0:00:58;58;
9:13:24;TIC Gauge 1;11;1,00E+05;9:12:26;0:00:58;58;
9:13:24;TIC Gauge 2;5;9,90E+09;9:12:26;0:00:58;58;
9:13:24;TIC Gauge 3;5;9,90E+09;9:12:26;0:00:58;58;
9:13:26;TIC Turbo Speed;;1,6;9:12:26;0:01:00;60;
9:13:26;TIC Turbo Power;;6,1;9:12:26;0:01:00;60;
9:13:26;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:00;60;
9:13:26;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:00;60;
9:13:26;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:00;60;
9:13:28;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:02;62;
9:13:28;TIC Turbo Speed;;1,6;9:12:26;0:01:02;62;
9:13:28;TIC Turbo Power;;6,5;9:12:26;0:01:02;62;
9:13:28;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:02;62;
9:13:28;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:02;62;
9:13:30;TIC Turbo Speed;;1,6;9:12:26;0:01:04;64;
9:13:30;TIC Turbo Power;;7,3;9:12:26;0:01:04;64;
9:13:30;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:04;64;
9:13:30;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:04;64;
9:13:30;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:04;64;
9:13:32;TIC Turbo Speed;;1,6;9:12:26;0:01:06;66;
9:13:32;TIC Turbo Power;;7,5;9:12:26;0:01:06;66;
9:13:32;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:06;66;
9:13:32;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:06;66;
9:13:32;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:06;66;
9:13:34;TIC Turbo Speed;;1,6;9:12:26;0:01:08;68;
9:13:34;TIC Turbo Power;;8,4;9:12:26;0:01:08;68;
9:13:34;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:08;68;
9:13:34;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:08;68;
9:13:34;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:08;68;
9:13:36;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:10;70;
9:13:36;TIC Turbo Speed;;1,6;9:12:26;0:01:10;70;
9:13:36;TIC Turbo Power;;6,1;9:12:26;0:01:10;70;
9:13:36;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:10;70;
9:13:36;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:10;70;
9:13:38;TIC Turbo Speed;;1,6;9:12:26;0:01:12;72;
9:13:38;TIC Turbo Power;;6,1;9:12:26;0:01:12;72;
9:13:38;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:12;72;
9:13:38;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:12;72;
9:13:38;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:12;72;
9:13:40;TIC Turbo Speed;;1,6;9:12:26;0:01:14;74;
9:13:40;TIC Turbo Power;;8,2;9:12:26;0:01:14;74;
9:13:40;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:14;74;
9:13:40;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:14;74;
9:13:41;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:15;75;
9:13:42;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:16;76;
9:13:42;TIC Turbo Speed;;1,6;9:12:26;0:01:16;76;
9:13:42;TIC Turbo Power;;8;9:12:26;0:01:16;76;
9:13:42;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:16;76;
9:13:42;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:16;76;
9:13:44;TIC Turbo Speed;;1,6;9:12:26;0:01:18;78;
9:13:44;TIC Turbo Power;;6,5;9:12:26;0:01:18;78;
9:13:44;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:18;78;
9:13:45;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:19;79;
9:13:45;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:19;79;
9:13:46;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:20;80;
9:13:46;TIC Turbo Speed;;1,6;9:12:26;0:01:20;80;
9:13:46;TIC Turbo Power;;8,7;9:12:26;0:01:20;80;
9:13:47;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:21;81;
9:13:47;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:21;81;
9:13:48;TIC Turbo Speed;;1,6;9:12:26;0:01:22;82;
9:13:48;TIC Turbo Power;;5,4;9:12:26;0:01:22;82;
9:13:49;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:23;83;
9:13:49;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:23;83;
9:13:49;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:23;83;
9:13:51;TIC Turbo Speed;;1,6;9:12:26;0:01:25;85;
9:13:51;TIC Turbo Power;;7,3;9:12:26;0:01:25;85;
9:13:51;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:25;85;
9:13:51;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:25;85;
9:13:51;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:25;85;
9:13:53;TIC Turbo Speed;;1,6;9:12:26;0:01:27;87;
9:13:53;TIC Turbo Power;;6,1;9:12:26;0:01:27;87;
9:13:53;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:27;87;
9:13:53;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:27;87;
9:13:53;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:27;87;
9:13:55;TIC Turbo Speed;;1,6;9:12:26;0:01:29;89;
9:13:55;TIC Turbo Power;;8,4;9:12:26;0:01:29;89;
9:13:55;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:29;89;
9:13:55;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:29;89;
9:13:55;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:29;89;
9:13:57;TIC Turbo Speed;;1,6;9:12:26;0:01:31;91;
9:13:57;TIC Turbo Power;;8;9:12:26;0:01:31;91;
9:13:57;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:31;91;
9:13:57;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:31;91;
9:13:57;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:31;91;
9:13:59;TIC Turbo Speed;;1,6;9:12:26;0:01:33;93;
9:13:59;TIC Turbo Power;;6,8;9:12:26;0:01:33;93;
9:13:59;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:33;93;
9:13:59;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:33;93;
9:13:59;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:33;93;
9:14:01;TIC Turbo Speed;;1,6;9:12:26;0:01:35;95;
9:14:01;TIC Turbo Power;;8,4;9:12:26;0:01:35;95;
9:14:01;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:35;95;
9:14:01;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:35;95;
9:14:01;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:35;95;
9:14:03;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:37;97;
9:14:03;TIC Turbo Speed;;1,6;9:12:26;0:01:37;97;
9:14:03;TIC Turbo Power;;6,1;9:12:26;0:01:37;97;
9:14:03;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:37;97;
9:14:03;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:37;97;
9:14:05;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:39;99;
9:14:05;TIC Turbo Speed;;1,6;9:12:26;0:01:39;99;
9:14:05;TIC Turbo Power;;8;9:12:26;0:01:39;99;
9:14:05;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:39;99;
9:14:05;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:39;99;
9:14:07;TIC Turbo Speed;;1,6;9:12:26;0:01:41;101;
9:14:07;TIC Turbo Power;;8,2;9:12:26;0:01:41;101;
9:14:07;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:41;101;
9:14:07;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:41;101;
9:14:07;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:41;101;
9:14:09;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:43;103;
9:14:09;TIC Turbo Speed;;1,6;9:12:26;0:01:43;103;
9:14:09;TIC Turbo Power;;6,5;9:12:26;0:01:43;103;
9:14:09;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:43;103;
9:14:09;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:43;103;
9:14:11;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:45;105;
9:14:11;TIC Turbo Speed;;1,6;9:12:26;0:01:45;105;
9:14:11;TIC Turbo Power;;6,1;9:12:26;0:01:45;105;
9:14:11;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:45;105;
9:14:11;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:45;105;
9:14:13;TIC Turbo Speed;;1,6;9:12:26;0:01:47;107;
9:14:13;TIC Turbo Power;;5,8;9:12:26;0:01:47;107;
9:14:13;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:47;107;
9:14:13;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:47;107;
9:14:13;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:47;107;
9:14:15;TIC Turbo Speed;;1,6;9:12:26;0:01:49;109;
9:14:15;TIC Turbo Power;;6,1;9:12:26;0:01:49;109;
9:14:15;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:49;109;
9:14:15;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:49;109;
9:14:16;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:50;110;
9:14:17;TIC Turbo Speed;;1,6;9:12:26;0:01:51;111;
9:14:17;TIC Turbo Power;;8;9:12:26;0:01:51;111;
9:14:17;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:51;111;
9:14:17;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:51;111;
9:14:18;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:52;112;
9:14:19;TIC Turbo Speed;;1,6;9:12:26;0:01:53;113;
9:14:19;TIC Turbo Power;;6,8;9:12:26;0:01:53;113;
9:14:19;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:53;113;
9:14:20;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:54;114;
9:14:20;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:54;114;
9:14:21;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:55;115;
9:14:21;TIC Turbo Speed;;1,6;9:12:26;0:01:55;115;
9:14:21;TIC Turbo Power;;6,1;9:12:26;0:01:55;115;
9:14:22;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:56;116;
9:14:22;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:56;116;
9:14:23;TIC Turbo Speed;;1,6;9:12:26;0:01:57;117;
9:14:24;TIC Turbo Power;;7,5;9:12:26;0:01:58;118;
9:14:24;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:58;118;
9:14:24;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:58;118;
9:14:24;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:58;118;
9:14:26;TIC Turbo Speed;;1,6;9:12:26;0:02:00;120;
9:14:26;TIC Turbo Power;;6,1;9:12:26;0:02:00;120;
9:14:26;TIC Gauge 1;11;1,00E+05;9:12:26;0:02:00;120;
9:14:26;TIC Gauge 2;5;9,90E+09;9:12:26;0:02:00;120;
